2024-07-15 13:57:59,248 INFO    MainThread:132791 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_setup.py:_flush():76] Configure stats pid to 132791
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_setup.py:_flush():76] Loading settings from /home/nvan21/.config/wandb/settings
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_setup.py:_flush():76] Loading settings from /work/flemingc/nvan21/projects/iros_simulator/src/python/double_pendulum/controller/SHAC/wandb/settings
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/python/double_pendulum/controller/SHAC/train.py', 'program_abspath': '/work/flemingc/nvan21/projects/iros_simulator/src/python/double_pendulum/controller/SHAC/train.py', 'program': '/work/flemingc/nvan21/projects/iros_simulator/src/python/double_pendulum/controller/SHAC/train.py'}
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_init.py:_log_setup():529] Logging user logs to /work/flemingc/nvan21/projects/iros_simulator/src/python/double_pendulum/controller/SHAC/wandb/run-20240715_135759-ixvwjmux/logs/debug.log
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_init.py:_log_setup():530] Logging internal logs to /work/flemingc/nvan21/projects/iros_simulator/src/python/double_pendulum/controller/SHAC/wandb/run-20240715_135759-ixvwjmux/logs/debug-internal.log
2024-07-15 13:57:59,249 INFO    MainThread:132791 [wandb_init.py:init():569] calling init triggers
2024-07-15 13:57:59,250 INFO    MainThread:132791 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'do_wandb_logging': True, 'actor_units': [64, 64], 'actor_learning_rate': 0.001, 'actor_learning_rate_schedule': 'linear', 'critic_units': [64, 64], 'critic_learning_rate': 0.001, 'critic_learning_rate_schedule': 'linear', 'critic_minibatches': 4, 'gae_lambda': 0.95, 'gamma': 0.99, 'tau': 0.2, 'num_steps': 32, 'num_envs': 64, 'max_epochs': 1000, 'critic_iterations': 16, 'dt': 0.01, 'device': device(type='cuda')}
2024-07-15 13:57:59,250 INFO    MainThread:132791 [wandb_init.py:init():619] starting backend
2024-07-15 13:57:59,250 INFO    MainThread:132791 [wandb_init.py:init():623] setting up manager
2024-07-15 13:57:59,250 INFO    MainThread:132791 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-15 13:57:59,252 INFO    MainThread:132791 [wandb_init.py:init():631] backend started and connected
2024-07-15 13:57:59,254 INFO    MainThread:132791 [wandb_init.py:init():720] updated telemetry
2024-07-15 13:57:59,262 INFO    MainThread:132791 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-15 13:57:59,532 INFO    MainThread:132791 [wandb_run.py:_on_init():2402] communicating current version
2024-07-15 13:57:59,609 INFO    MainThread:132791 [wandb_run.py:_on_init():2411] got version response 
2024-07-15 13:57:59,609 INFO    MainThread:132791 [wandb_init.py:init():804] starting run threads in backend
2024-07-15 13:58:02,505 INFO    MainThread:132791 [wandb_run.py:_console_start():2380] atexit reg
2024-07-15 13:58:02,505 INFO    MainThread:132791 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-15 13:58:02,505 INFO    MainThread:132791 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-15 13:58:02,505 INFO    MainThread:132791 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-15 13:58:02,507 INFO    MainThread:132791 [wandb_init.py:init():847] run started, returning control to user process
2024-07-15 14:05:14,727 WARNING MsgRouterThr:132791 [router.py:message_loop():77] message_loop has been closed
